muestra,t,M 5A,DUT 30A,
40,20780,69.971,337.573,
41,21313,66.531,337.938,
42,21846,65.628,344.997,
43,22378,65.668,340.873,
44,22911,68.186,345.610,
45,23444,65.577,335.616,
46,23975,66.855,341.159,
47,24526,65.665,332.654,
48,25060,63.250,328.936,
49,25591,66.836,159.604,
50,26125,67.803,142.574,
51,26657,66.676,140.584,
52,27189,67.317,141.499,
muestra,t,M 5A,DUT 30A,
2,575,67.484,139.613,
3,1105,67.534,247.982,
4,1638,65.124,534.540,
5,2170,68.169,540.739,
6,2703,66.593,515.175,
7,3233,64.759,499.895,
8,3767,68.566,563.686,
9,4300,67.406,533.823,
10,4833,64.416,342.242,
11,5365,67.158,332.975,
12,5897,66.563,340.321,
13,6428,66.163,334.389,
14,6960,65.054,333.725,
15,7497,66.481,340.187,
16,8029,65.943,326.460,
17,8561,67.068,333.161,
18,9092,65.954,336.205,
19,9624,66.887,339.200,
20,10155,66.723,333.229,
21,10688,66.319,335.983,
22,11219,63.314,341.330,
23,11752,64.680,335.734,
24,12299,64.552,335.538,
25,12830,64.339,335.050,
26,13362,66.048,333.491,
27,13894,65.120,337.469,
28,14425,65.314,338.466,
29,14957,64.272,338.538,
30,15489,64.003,337.409,
31,16023,64.175,332.644,
32,16554,63.653,338.365,
33,17085,65.881,332.722,
34,17622,64.426,323.153,
35,18157,65.615,348.516,
36,18687,62.863,342.294,
37,19221,65.582,330.648,
38,19751,65.456,339.882,
39,20284,64.947,339.958,
40,20816,64.513,339.586,
41,21348,65.425,338.763,
42,21880,64.946,338.581,
43,22414,67.250,340.729,
44,22946,64.725,334.182,
45,23480,62.717,335.664,
46,24011,65.544,337.122,
47,24542,65.717,335.972,
48,25073,65.668,335.914,
49,25605,66.257,166.181,
50,26136,64.773,145.168,
51,26669,65.710,144.136,
52,27201,67.207,140.719,
muestra,t,M 5A,DUT 30A,
2,539,65.207,137.570,
3,1071,67.248,208.261,
4,1603,65.726,539.040,
5,2134,66.917,556.584,
6,2667,64.145,513.035,
7,3197,64.579,488.852,
8,3731,65.820,560.702,
9,4262,69.652,547.199,
10,4795,65.637,345.084,
11,5326,66.660,329.321,
12,5859,66.354,343.793,
13,6390,67.115,341.396,
14,6923,63.564,343.415,
15,7455,65.144,334.502,
16,7987,65.538,337.082,
17,8519,61.611,340.750,
18,9053,65.645,334.972,
19,9585,65.840,326.380,
20,10117,64.485,335.122,
21,10653,64.307,334.909,
22,11187,64.480,339.911,
23,11719,66.546,332.585,
24,12251,63.861,331.520,
25,12782,66.429,323.490,
26,13314,65.692,337.778,
27,13845,63.772,338.610,
28,14412,63.810,336.899,
29,14942,64.329,329.803,
30,15475,65.917,338.960,
31,16006,68.480,327.373,
32,16539,64.388,333.530,
33,17084,66.463,337.527,
34,17619,64.538,339.203,
35,18150,65.443,334.618,
36,18682,63.375,338.255,
37,19215,64.297,337.139,
38,19748,71.316,343.415,
39,20280,64.328,345.535,
40,20817,65.101,345.601,
41,21350,65.525,332.888,
42,21881,67.734,340.978,
43,22416,67.070,335.609,
44,22947,64.347,338.226,
45,23481,64.147,346.737,
46,24011,64.895,337.961,
47,24545,66.178,334.856,
48,25077,62.589,334.055,
49,25610,67.875,171.050,
50,26142,68.160,144.181,
51,26674,66.327,141.271,
52,27206,65.768,144.339,
muestra,t,M 5A,DUT 30A,
2,538,68.504,136.234,
3,1071,66.497,214.725,
4,1602,68.779,534.509,
5,2135,69.323,559.996,
6,2667,63.317,529.078,
7,3198,64.652,500.864,
8,3735,65.155,562.231,
9,4268,68.182,519.128,
10,4799,65.052,340.149,
11,5332,64.936,341.970,
12,5862,69.947,333.628,
13,6396,67.847,334.444,
14,6926,65.354,337.267,
15,7459,66.051,329.744,
16,7989,64.628,344.822,
17,8523,65.300,342.270,
18,9054,65.644,338.427,
19,9588,68.416,339.021,
20,10119,66.577,336.263,
21,10653,67.187,341.073,
22,11183,63.855,343.472,
23,11717,68.207,343.831,
24,12249,65.372,330.530,
25,12782,69.413,338.418,
26,13314,69.952,329.773,
27,13853,67.576,340.235,
28,14385,66.753,330.775,
29,14917,66.836,332.283,
30,15449,64.336,344.237,
31,15981,65.072,331.680,
32,16514,65.981,337.832,
33,17046,64.910,327.006,
34,17579,68.583,325.255,
35,18110,64.024,351.983,
36,18644,65.209,333.686,
37,19175,65.892,339.041,
38,19709,66.761,329.014,
39,20240,65.951,342.639,
40,20771,66.253,341.304,
41,21303,63.474,333.696,
42,21836,66.672,333.258,
43,22371,63.128,335.283,
44,22910,66.010,331.990,
45,23441,66.738,335.084,
46,23991,69.973,337.275,
47,24526,66.105,329.832,
48,25056,69.184,339.155,
49,25589,69.720,200.484,
50,26119,65.508,145.034,
51,26653,68.018,142.164,
52,27183,64.235,142.050,
muestra,t,M 5A,DUT 30A,
2,536,66.632,141.064,
3,1070,67.065,231.691,
4,1602,67.289,537.319,
5,2135,67.465,552.100,
6,2666,67.566,526.459,
7,3198,67.505,488.892,
8,3730,65.716,566.472,
9,4263,66.189,535.425,
10,4793,69.797,331.608,
11,5327,64.361,337.053,
12,5858,63.118,346.126,
13,6391,66.900,339.104,
14,6927,65.343,334.812,
15,7459,64.028,334.808,
